user_id,cluster,segment_label
USER_000000,2,AT_RISK
USER_000001,0,HIGH
USER_000002,1,MODERATE
USER_000003,0,HIGH
USER_000004,0,HIGH
USER_000005,0,HIGH
USER_000006,1,MODERATE
USER_000007,0,HIGH
USER_000008,1,MODERATE
USER_000009,3,OCCASIONAL
USER_000010,0,HIGH
USER_000011,2,AT_RISK
USER_000012,2,AT_RISK
USER_000013,0,HIGH
USER_000014,1,MODERATE
USER_000015,0,HIGH
USER_000016,1,MODERATE
USER_000017,0,HIGH
USER_000018,3,OCCASIONAL
USER_000019,3,OCCASIONAL
USER_000020,0,HIGH
USER_000021,2,AT_RISK
USER_000022,0,HIGH
USER_000023,0,HIGH
USER_000024,2,AT_RISK
USER_000025,0,HIGH
USER_000026,0,HIGH
USER_000027,2,AT_RISK
USER_000028,1,MODERATE
USER_000029,2,AT_RISK
USER_000030,3,OCCASIONAL
USER_000031,1,MODERATE
USER_000032,1,MODERATE
USER_000033,0,HIGH
USER_000034,1,MODERATE
USER_000035,2,AT_RISK
USER_000036,0,HIGH
USER_000037,1,MODERATE
USER_000038,2,AT_RISK
USER_000039,3,OCCASIONAL
USER_000040,3,OCCASIONAL
USER_000041,0,HIGH
USER_000042,0,HIGH
USER_000043,1,MODERATE
USER_000044,1,MODERATE
USER_000045,0,HIGH
USER_000046,3,OCCASIONAL
USER_000047,1,MODERATE
USER_000048,3,OCCASIONAL
USER_000049,2,AT_RISK
USER_000050,1,MODERATE
USER_000051,3,OCCASIONAL
USER_000052,2,AT_RISK
USER_000053,0,HIGH
USER_000054,0,HIGH
USER_000055,1,MODERATE
USER_000056,1,MODERATE
USER_000057,0,HIGH
USER_000058,1,MODERATE
USER_000059,0,HIGH
USER_000060,0,HIGH
USER_000061,2,AT_RISK
USER_000062,2,AT_RISK
USER_000063,2,AT_RISK
USER_000064,0,HIGH
USER_000065,2,AT_RISK
USER_000066,3,OCCASIONAL
USER_000067,2,AT_RISK
USER_000068,0,HIGH
USER_000069,1,MODERATE
USER_000070,0,HIGH
USER_000071,0,HIGH
USER_000072,0,HIGH
USER_000073,3,OCCASIONAL
USER_000074,0,HIGH
USER_000075,2,AT_RISK
USER_000076,1,MODERATE
USER_000077,1,MODERATE
USER_000078,0,HIGH
USER_000079,1,MODERATE
USER_000080,3,OCCASIONAL
USER_000081,2,AT_RISK
USER_000082,1,MODERATE
USER_000083,0,HIGH
USER_000084,0,HIGH
USER_000085,2,AT_RISK
USER_000086,0,HIGH
USER_000087,0,HIGH
USER_000088,0,HIGH
USER_000089,2,AT_RISK
USER_000090,0,HIGH
USER_000091,1,MODERATE
USER_000092,2,AT_RISK
USER_000093,1,MODERATE
USER_000094,3,OCCASIONAL
USER_000095,1,MODERATE
USER_000096,0,HIGH
USER_000097,0,HIGH
USER_000098,3,OCCASIONAL
USER_000099,1,MODERATE
USER_000100,0,HIGH
USER_000101,1,MODERATE
USER_000102,1,MODERATE
USER_000103,1,MODERATE
USER_000104,0,HIGH
USER_000105,1,MODERATE
USER_000106,0,HIGH
USER_000107,0,HIGH
USER_000108,0,HIGH
USER_000109,1,MODERATE
USER_000110,0,HIGH
USER_000111,1,MODERATE
USER_000112,2,AT_RISK
USER_000113,2,AT_RISK
USER_000114,3,OCCASIONAL
USER_000115,1,MODERATE
USER_000116,0,HIGH
USER_000117,1,MODERATE
USER_000118,0,HIGH
USER_000119,3,OCCASIONAL
USER_000120,3,OCCASIONAL
USER_000121,3,OCCASIONAL
USER_000122,1,MODERATE
USER_000123,1,MODERATE
USER_000124,2,AT_RISK
USER_000125,3,OCCASIONAL
USER_000126,0,HIGH
USER_000127,3,OCCASIONAL
USER_000128,0,HIGH
USER_000129,0,HIGH
USER_000130,2,AT_RISK
USER_000131,1,MODERATE
USER_000132,1,MODERATE
USER_000133,0,HIGH
USER_000134,3,OCCASIONAL
USER_000135,0,HIGH
USER_000136,3,OCCASIONAL
USER_000137,1,MODERATE
USER_000138,3,OCCASIONAL
USER_000139,2,AT_RISK
USER_000140,0,HIGH
USER_000141,2,AT_RISK
USER_000142,3,OCCASIONAL
USER_000143,1,MODERATE
USER_000144,3,OCCASIONAL
USER_000145,3,OCCASIONAL
USER_000146,2,AT_RISK
USER_000147,3,OCCASIONAL
USER_000148,1,MODERATE
USER_000149,0,HIGH
USER_000150,0,HIGH
USER_000151,1,MODERATE
USER_000152,2,AT_RISK
USER_000153,3,OCCASIONAL
USER_000154,1,MODERATE
USER_000155,1,MODERATE
USER_000156,1,MODERATE
USER_000157,0,HIGH
USER_000158,2,AT_RISK
USER_000159,1,MODERATE
USER_000160,1,MODERATE
USER_000161,3,OCCASIONAL
USER_000162,0,HIGH
USER_000163,0,HIGH
USER_000164,2,AT_RISK
USER_000165,2,AT_RISK
USER_000166,2,AT_RISK
USER_000167,0,HIGH
USER_000168,0,HIGH
USER_000169,2,AT_RISK
USER_000170,0,HIGH
USER_000171,0,HIGH
USER_000172,0,HIGH
USER_000173,1,MODERATE
USER_000174,1,MODERATE
USER_000175,3,OCCASIONAL
USER_000176,2,AT_RISK
USER_000177,0,HIGH
USER_000178,0,HIGH
USER_000179,0,HIGH
USER_000180,0,HIGH
USER_000181,0,HIGH
USER_000182,0,HIGH
USER_000183,0,HIGH
USER_000184,2,AT_RISK
USER_000185,0,HIGH
USER_000186,0,HIGH
USER_000187,3,OCCASIONAL
USER_000188,0,HIGH
USER_000189,1,MODERATE
USER_000190,0,HIGH
USER_000191,0,HIGH
USER_000192,1,MODERATE
USER_000193,0,HIGH
USER_000194,0,HIGH
USER_000195,2,AT_RISK
USER_000196,1,MODERATE
USER_000197,1,MODERATE
USER_000198,0,HIGH
USER_000199,0,HIGH
USER_000200,3,OCCASIONAL
USER_000201,0,HIGH
USER_000202,0,HIGH
USER_000203,1,MODERATE
USER_000204,2,AT_RISK
USER_000205,2,AT_RISK
USER_000206,3,OCCASIONAL
USER_000207,3,OCCASIONAL
USER_000208,0,HIGH
USER_000209,3,OCCASIONAL
USER_000210,0,HIGH
USER_000211,0,HIGH
USER_000212,2,AT_RISK
USER_000213,3,OCCASIONAL
USER_000214,1,MODERATE
USER_000215,0,HIGH
USER_000216,0,HIGH
USER_000217,2,AT_RISK
USER_000218,1,MODERATE
USER_000219,0,HIGH
USER_000220,0,HIGH
USER_000221,0,HIGH
USER_000222,3,OCCASIONAL
USER_000223,0,HIGH
USER_000224,0,HIGH
USER_000225,0,HIGH
USER_000226,2,AT_RISK
USER_000227,3,OCCASIONAL
USER_000228,3,OCCASIONAL
USER_000229,1,MODERATE
USER_000230,0,HIGH
USER_000231,2,AT_RISK
USER_000232,0,HIGH
USER_000233,2,AT_RISK
USER_000234,0,HIGH
USER_000235,0,HIGH
USER_000236,2,AT_RISK
USER_000237,2,AT_RISK
USER_000238,2,AT_RISK
USER_000239,1,MODERATE
USER_000240,3,OCCASIONAL
USER_000241,1,MODERATE
USER_000242,0,HIGH
USER_000243,2,AT_RISK
USER_000244,3,OCCASIONAL
USER_000245,0,HIGH
USER_000246,0,HIGH
USER_000247,0,HIGH
USER_000248,0,HIGH
USER_000249,2,AT_RISK
USER_000250,1,MODERATE
USER_000251,0,HIGH
USER_000252,0,HIGH
USER_000253,0,HIGH
USER_000254,0,HIGH
USER_000255,1,MODERATE
USER_000256,1,MODERATE
USER_000257,2,AT_RISK
USER_000258,0,HIGH
USER_000259,2,AT_RISK
USER_000260,1,MODERATE
USER_000261,3,OCCASIONAL
USER_000262,0,HIGH
USER_000263,2,AT_RISK
USER_000264,0,HIGH
USER_000265,2,AT_RISK
USER_000266,0,HIGH
USER_000267,1,MODERATE
USER_000268,1,MODERATE
USER_000269,0,HIGH
USER_000270,0,HIGH
USER_000271,2,AT_RISK
USER_000272,3,OCCASIONAL
USER_000273,0,HIGH
USER_000274,0,HIGH
USER_000275,2,AT_RISK
USER_000276,0,HIGH
USER_000277,2,AT_RISK
USER_000278,0,HIGH
USER_000279,1,MODERATE
USER_000280,0,HIGH
USER_000281,0,HIGH
USER_000282,0,HIGH
USER_000283,1,MODERATE
USER_000284,3,OCCASIONAL
USER_000285,0,HIGH
USER_000286,0,HIGH
USER_000287,0,HIGH
USER_000288,3,OCCASIONAL
USER_000289,2,AT_RISK
USER_000290,1,MODERATE
USER_000291,1,MODERATE
USER_000292,3,OCCASIONAL
USER_000293,1,MODERATE
USER_000294,1,MODERATE
USER_000295,2,AT_RISK
USER_000296,2,AT_RISK
USER_000297,0,HIGH
USER_000298,2,AT_RISK
USER_000299,1,MODERATE
USER_000300,0,HIGH
USER_000301,2,AT_RISK
USER_000302,0,HIGH
USER_000303,3,OCCASIONAL
